generation: 100, power_min: 98.98911, power_avg: 148.7233, power_max: 172.74256, util_min: 2.61699, util_avg: 3.32381, util_max: 4.23534
generation: 200, power_min: 98.98911, power_avg: 128.62253, power_max: 145.64522, util_min: 3.08217, util_avg: 3.64519, util_max: 4.23534
generation: 300, power_min: 95.48371, power_avg: 111.89856, power_max: 122.60617, util_min: 3.47745, util_avg: 3.80751, util_max: 4.07462
generation: 400, power_min: 86.03059, power_avg: 103.19486, power_max: 109.73371, util_min: 3.70053, util_avg: 3.85982, util_max: 4.11719
generation: 500, power_min: 91.69059, power_avg: 96.96242, power_max: 101.18371, util_min: 3.85053, util_avg: 3.92459, util_max: 4.01719
generation: 600, power_min: 91.69059, power_avg: 95.37432, power_max: 95.48371, util_min: 3.95053, util_avg: 3.95245, util_max: 4.01719
generation: 700, power_min: 91.69059, power_avg: 94.98586, power_max: 95.48371, util_min: 3.95053, util_avg: 3.95927, util_max: 4.01719
generation: 800, power_min: 91.69059, power_avg: 94.22689, power_max: 95.48371, util_min: 3.95053, util_avg: 3.97261, util_max: 4.01719
generation: 900, power_min: 91.69059, power_avg: 93.88448, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97861, util_max: 4.01719
generation: 1000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 1900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 2900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 3900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
